"DateKey","FullDateAlternateKey","DayNumberOfWeek","EnglishDayNameOfWeek","SpanishDayNameOfWeek","FrenchDayNameOfWeek","DayNumberOfMonth","DayNumberOfYear","WeekNumberOfYear","EnglishMonthName","SpanishMonthName","FrenchMonthName","MonthNumberOfYear","CalendarQuarter","CalendarYear","CalendarSemester","FiscalQuarter","FiscalYear","FiscalSemester"
"20050101","38353","7","Saturday","Sábado","Samedi","1","1","1","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050102","38354","1","Sunday","Domingo","Dimanche","2","2","2","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050103","38355","2","Monday","Lunes","Lundi","3","3","2","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050104","38356","3","Tuesday","Martes","Mardi","4","4","2","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050105","38357","4","Wednesday","Miércoles","Mercredi","5","5","2","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050106","38358","5","Thursday","Jueves","Jeudi","6","6","2","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050107","38359","6","Friday","Viernes","Vendredi","7","7","2","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050108","38360","7","Saturday","Sábado","Samedi","8","8","2","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050109","38361","1","Sunday","Domingo","Dimanche","9","9","3","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050110","38362","2","Monday","Lunes","Lundi","10","10","3","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050111","38363","3","Tuesday","Martes","Mardi","11","11","3","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050112","38364","4","Wednesday","Miércoles","Mercredi","12","12","3","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050113","38365","5","Thursday","Jueves","Jeudi","13","13","3","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050114","38366","6","Friday","Viernes","Vendredi","14","14","3","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050115","38367","7","Saturday","Sábado","Samedi","15","15","3","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050116","38368","1","Sunday","Domingo","Dimanche","16","16","4","January","Enero","Janvier","1","1","2005","1","3","2005","2"
