ProductId,Date,Sales,COGS,Gross Margin,Marketing,Total Expenses,Profit,Inventory,Budget Profit,Budget COGS,Budget Margin,Budget Sales,Area Code
1,2022-01-01,219,89,130,24,36,94,777,100,90,130,220,719
2,2022-01-01,190,83,107,27,39,68,623,80,80,110,190,970
3,2022-01-01,234,95,139,26,38,101,821,110,100,140,240,970
13,2022-01-01,100,44,56,14,26,30,623,30,30,50,80,303
5,2022-01-01,134,54,80,15,26,54,456,70,60,90,150,303
6,2022-01-01,180,72,108,23,55,53,558,80,80,130,210,720
8,2022-01-01,341,170,171,47,72,99,1091,110,140,160,300,970
9,2022-01-01,150,63,87,57,87,0,435,20,50,80,130,719
10,2022-01-01,140,60,80,19,47,33,336,40,50,70,120,970
11,2022-01-01,130,58,72,22,55,17,338,20,40,70,110,719
12,2022-01-01,140,64,76,19,40,36,965,40,50,70,120,303
2,2022-01-01,345,144,201,47,90,111,862,130,150,210,360,217
3,2022-01-01,234,95,139,30,52,87,608,100,100,140,240,309
5,2022-01-01,546,234,312,77,109,203,1310,260,270,370,640,309
6,2022-01-01,456,228,228,63,88,140,1459,180,260,270,530,630
8,2022-01-01,219,89,130,24,35,95,777,100,70,120,190,312
9,2022-01-01,190,83,107,27,39,68,623,60,70,90,160,630
10,2022-01-01,234,95,139,26,38,101,821,100,80,120,200,773
11,2022-01-01,134,54,80,15,27,53,456,50,40,70,110,217
12,2022-01-01,180,72,108,23,54,54,558,40,60,90,150,708
1,2022-01-01,45,18,27,5,16,11,821,20,10,30,40,319
2,2022-01-01,62,28,34,8,29,5,965,20,20,40,60,641
3,2022-01-01,54,23,31,7,19,12,623,20,20,30,50,712
5,2022-01-01,43,17,26,4,15,11,777,30,10,40,50,563
6,2022-01-01,43,17,26,4,16,10,777,30,10,40,50,563
8,2022-01-01,546,234,312,77,110,202,1310,200,200,280,480,641
9,2022-01-01,234,95,139,30,53,86,608,90,80,120,200,563
11,2022-01-01,456,228,228,63,87,141,1459,140,190,210,400,712
12,2022-01-01,546,245,301,93,126,175,1419,160,210,270,480,319
2,2022-01-01,190,85,105,32,66,39,494,40,90,100,190,636
3,2022-01-01,170,78,92,24,45,47,965,50,80,90,170,573
13,2022-01-01,76,34,42,12,46,-4,197,0,20,40,60,417
5,2022-01-01,123,50,73,14,25,48,821,70,50,90,140,573
6,2022-01-01,114,46,68,12,23,45,777,60,50,80,130,660
8,2022-01-01,90,37,53,34,64,-11,261,0,30,40,70,573
9,2022-01-01,99,88,11,27,50,-39,525,-20,70,10,80,314
11,2022-01-01,82,35,47,11,38,9,196,10,30,40,70,314
12,2022-01-01,65,29,36,11,45,-9,169,-10,20,30,50,573
1,2022-01-01,140,60,80,19,46,34,336,50,60,80,140,740
2,2022-01-01,140,57,83,18,41,42,364,50,60,80,140,614
3,2022-01-01,150,63,87,57,87,0,435,20,60,90,150,614
12,2022-01-01,200,84,116,26,49,67,500,60,70,100,170,216
6,2022-01-01,130,58,72,22,56,16,338,40,60,90,150,614
5,2022-01-01,341,170,171,47,72,99,1091,140,190,210,400,614
8,2022-01-01,80,32,48,8,19,29,456,50,20,50,70,937
9,2022-01-01,80,32,48,8,19,29,821,50,20,50,70,740
11,2022-01-01,210,84,126,27,58,68,651,60,70,110,180,567
1,2022-01-01,120,54,66,20,53,13,312,30,50,70,120,262
2,2022-01-01,190,79,111,72,102,9,551,20,80,110,190,262
3,2022-01-01,180,77,103,25,52,51,432,60,80,100,180,414
12,2022-01-01,180,75,105,68,98,7,522,10,60,90,150,262
6,2022-01-01,110,48,62,15,28,34,623,50,50,70,120,262
5,2022-01-01,150,69,81,21,43,38,965,50,80,90,170,414
8,2022-01-01,180,67,113,20,43,70,400,80,50,100,150,715
9,2022-01-01,81,33,48,9,20,28,777,50,20,50,70,715
11,2022-01-01,150,61,89,19,42,47,390,50,50,80,130,608
11,2022-01-01,123,50,73,14,26,47,821,60,50,80,130,475
13,2022-01-01,94,38,56,10,21,35,777,40,40,60,100,475
6,2022-01-01,130,55,75,18,45,30,312,40,50,70,120,475
5,2022-01-01,180,75,105,68,98,7,522,20,70,100,170,860
2,2022-01-01,310,124,186,40,71,115,961,130,110,180,290,475
9,2022-01-01,190,85,105,32,65,40,494,40,60,80,140,860
10,2022-01-01,170,78,92,24,45,47,965,50,50,80,130,475
11,2022-01-01,80,32,48,8,20,28,821,40,30,50,80,954
13,2022-01-01,81,33,48,9,20,28,777,40,30,50,80,754
6,2022-01-01,180,77,103,25,53,50,432,60,70,100,170,754
5,2022-01-01,190,79,111,72,102,9,551,30,70,110,180,239
3,2022-01-01,200,84,116,26,49,67,500,70,80,110,190,754
2,2022-01-01,210,84,126,27,58,68,651,70,80,110,190,954
8,2022-01-01,110,48,62,15,28,34,623,30,30,50,80,863
9,2022-01-01,120,54,66,20,53,13,312,20,40,50,90,239
