1,Conference Room A,Floor 5,10,"Projector, Whiteboard"
2,Open Workspace B,Floor 2,20,High-speed Internet
3,Private Office C,Floor 3,4,"Desk, Chair, Printer"
4,Meeting Room A,Floor 4,8,"Whiteboard, Video Conferencing"
5,Open Workspace B,Floor 3,25,"High-speed Internet, Coffee Machine"
6,Private Office C,Floor 2,3,"Desk, Chair, Phone Line"
7,Conference Room D,Floor 6,12,"Projector, Speaker System"
8,Open Workspace E,Floor 5,30,"High-speed Internet, Printer"
9,Private Office F,Floor 4,2,"Desk, Chair, Storage"
10,Meeting Room G,Floor 7,6,"Whiteboard, Video Conferencing"
