Region,Year,Category,Product,Sales,Rating
East,2017,Clothing,Socks,6400,0.88
East,2017,Clothing,Shorts,15800,0.11
East,2017,Components,Handlebars,8000,0.71
East,2017,Clothing,Jerseys,18800,0.06
East,2017,Bikes,Road Bikes,10900,0.08
East,2017,Bikes,Mountain Bikes,3600,0.38
East,2017,Accessories,Pumps,18200,0.9
East,2017,Clothing,Tights,13900,0.37
East,2017,Accessories,Helmets,4000,0.46
East,2017,Accessories,Tires and Tubes,5300,0.22
East,2017,Accessories,Locks,16900,0.34
East,2017,Components,Bottom Brackets,6300,0.3
East,2017,Clothing,Vests,4700,0.25
East,2017,Components,Pedals,1900,0.09
East,2017,Clothing,Gloves,3900,0.29
East,2017,Accessories,Bike Racks,15600,0.87
East,2017,Components,Saddles,18200,0.09
East,2017,Components,Brakes,5600,0.83
East,2017,Components,Wheels,12500,0.15
East,2017,Bikes,Touring Bikes,15400,0.27
East,2017,Bikes,Cargo Bike,13400,0.67
East,2017,Clothing,Bib-Shorts,8100,0.27
East,2017,Accessories,Lights,13300,0.62
East,2017,Clothing,Caps,15500,0.96
East,2017,Components,Chains,10300,0.67
