Region,Year,Category,Product,Sales,Rating
South,2017,Components,Chains,20000,0.75
South,2017,Clothing,Bib-Shorts,4000,0.22
South,2017,Clothing,Tights,36000,1.0
South,2017,Components,Brakes,5400,0.38
South,2017,Components,Bottom Brackets,600,0.27
South,2017,Clothing,Jerseys,7500,0.4
South,2017,Accessories,Tires and Tubes,63700,0.9
South,2017,Bikes,Cargo Bike,9300,0.6
South,2017,Bikes,Mountain Bikes,8500,0.46
South,2017,Accessories,Bike Racks,33700,0.92
South,2017,Clothing,Caps,600,0.15
South,2017,Accessories,Pumps,30700,0.95
South,2017,Accessories,Helmets,34000,0.95
South,2017,Bikes,Road Bikes,16900,0.65
South,2017,Accessories,Lights,36700,0.9
South,2017,Accessories,Locks,35000,1.0
South,2017,Clothing,Socks,3700,0.48
South,2017,Components,Wheels,21800,0.96
South,2017,Components,Handlebars,5000,0.35
South,2017,Components,Pedals,6200,0.38
South,2017,Clothing,Gloves,27000,0.88
South,2017,Clothing,Vests,2400,0.35
South,2017,Clothing,Shorts,23000,1.0
South,2017,Components,Saddles,3100,0.42
South,2017,Bikes,Touring Bikes,3100,0.22
