Region,Year,Category,Product,Sales,Rating
West,2017,Clothing,Socks,2300,0.28
West,2017,Components,Brakes,3400,0.36
West,2017,Bikes,Mountain Bikes,6300,0.4
West,2017,Accessories,Helmets,17000,0.9
West,2017,Accessories,Lights,21600,0.9
West,2017,Accessories,Locks,29800,0.9
West,2017,Components,Bottom Brackets,1000,0.23
West,2017,Accessories,Pumps,16400,0.8
West,2017,Accessories,Bike Racks,22100,0.9
West,2017,Clothing,Bib-Shorts,2900,0.36
West,2017,Bikes,Road Bikes,8300,0.46
West,2017,Components,Wheels,16700,0.75
West,2017,Bikes,Touring Bikes,1800,0.15
West,2017,Clothing,Shorts,12000,0.66
West,2017,Components,Chains,16400,0.7
West,2017,Clothing,Caps,400,0.2
West,2017,Components,Handlebars,3300,0.38
West,2017,Clothing,Gloves,15600,0.65
West,2017,Components,Pedals,1500,0.17
West,2017,Components,Saddles,2800,0.38
West,2017,Bikes,Cargo Bike,6700,0.46
West,2017,Accessories,Tires and Tubes,13800,0.85
West,2017,Clothing,Jerseys,3800,0.48
West,2017,Clothing,Vests,1300,0.25
West,2017,Clothing,Tights,22100,0.99
