orderid,customerid,noguest,tableno,intime,outtime,dinetypeid,paymentid,total,discount,netpay,vat,isposted,username
1,PH1,4,5,2002-01-01 10:51:00,2002-01-01 12:00:00,EI,CASH,1300.00,187.50,1112.50,72.78,false,dbo
2,ZF1,1,3,2002-01-01 11:35:00,2002-01-01 12:42:00,EI,CASH,675.00,0.00,675.00,44.16,false,dbo
3,ZF1,2,1,2002-01-01 12:14:00,2002-01-01 14:33:00,EI,CHK,520.00,0.00,520.00,34.02,false,dbo
4,ZF1,3,5,2002-01-01 18:59:00,2002-01-01 19:58:00,EI,MC,490.00,19.50,470.50,30.78,false,dbo
5,ZF1,1,5,2002-01-02 11:58:00,2002-01-02 13:32:00,EI,CASH,480.00,0.00,480.00,31.40,false,dbo
6,ZF1,3,1,2002-01-02 20:19:00,2002-01-02 22:25:00,EI,CHK,360.00,0.00,360.00,23.55,false,dbo
7,PH1,6,3,2002-01-03 11:39:00,2002-01-03 12:50:00,EI,MC,1240.00,124.00,1116.00,73.01,false,dbo
8,PH1,2,4,2002-01-03 11:41:00,2002-01-03 12:22:00,EI,CASH,425.00,0.00,425.00,27.80,false,dbo
9,PH1,6,3,2002-01-04 11:35:00,2002-01-04 13:25:00,EI,MC,2290.00,448.00,1842.00,120.50,false,dbo
10,ZF1,4,4,2002-01-04 11:44:00,2002-01-04 12:23:00,EI,CASH,110.00,0.00,110.00,7.20,false,dbo
11,PJ1,2,5,2002-01-04 11:55:00,2002-01-04 13:05:00,EI,VISA,815.00,0.00,815.00,53.32,false,dbo
12,ZF1,3,7,2002-01-04 12:07:00,2002-01-04 12:48:00,EI,CASH,80.00,0.00,80.00,5.23,false,dbo
13,PJ1,2,1,2002-01-04 12:17:00,2002-01-04 13:28:00,EI,MC,410.00,15.50,394.50,25.81,false,dbo
14,PJ1,2,2,2002-01-04 12:20:00,2002-01-04 14:05:00,EI,MC,270.00,13.50,256.50,16.78,false,dbo
15,PJ1,3,3,2002-01-04 18:35:00,2002-01-04 20:09:00,EI,CASH,1010.00,0.00,1010.00,66.07,false,dbo
16,RH1,2,3,2002-01-04 18:37:00,2002-01-04 20:54:00,EI,CASH,130.00,0.00,130.00,8.50,false,dbo
17,ZF1,4,5,2002-01-04 18:58:00,2002-01-04 19:51:00,EI,CASH,1670.00,235.50,1434.50,93.85,false,dbo
18,ZF1,4,5,2002-01-04 18:59:00,2002-01-04 19:31:00,EI,CHK,1815.00,181.50,1633.50,106.86,false,dbo
19,PJ1,4,8,2002-01-04 19:08:00,2002-01-04 21:18:00,EI,CASH,220.00,0.00,220.00,14.39,false,dbo
20,PH1,1,0,2002-01-04 19:13:00,2002-01-04 19:28:00,TG,AMEX,360.00,0.00,360.00,23.55,false,dbo
21,ZF1,3,1,2002-01-04 19:13:00,2002-01-04 19:44:00,EI,CHK,1270.00,127.00,1143.00,74.78,false,dbo
22,PH1,6,1,2002-01-04 19:19:00,2002-01-04 21:42:00,EI,MC,1690.00,154.00,1536.00,100.49,false,dbo
23,ZM1,4,2,2002-01-04 19:22:00,2002-01-04 20:59:00,EI,CASH,75.00,0.00,75.00,4.91,false,dbo
24,ZM1,1,2,2002-01-04 19:29:00,2002-01-04 20:36:00,EI,CHK,200.00,0.00,200.00,13.08,false,dbo
25,ZF1,2,1,2002-01-04 20:11:00,2002-01-04 20:54:00,EI,CASH,225.00,0.00,225.00,14.72,false,dbo
26,ZM1,3,3,2002-01-05 10:35:00,2002-01-05 12:36:00,EI,CASH,250.00,0.00,250.00,16.36,false,dbo
27,ZF1,3,4,2002-01-05 10:47:00,2002-01-05 11:23:00,EI,VISA,420.00,0.00,420.00,27.48,false,dbo
28,ZM1,1,7,2002-01-05 11:07:00,2002-01-05 13:25:00,EI,MC,360.00,18.00,342.00,22.37,false,dbo
29,ZF1,3,1,2002-01-05 11:15:00,2002-01-05 13:27:00,EI,CASH,40.00,0.00,40.00,2.62,false,dbo
30,ZM1,1,2,2002-01-05 11:28:00,2002-01-05 13:16:00,EI,CASH,320.00,0.00,320.00,20.93,false,dbo
31,ZF1,2,2,2002-01-05 11:29:00,2002-01-05 13:52:00,EI,CASH,660.00,0.00,660.00,43.18,false,dbo
32,ZM1,3,4,2002-01-05 11:42:00,2002-01-05 12:18:00,EI,MC,830.00,41.50,788.50,51.58,false,dbo
33,ZM1,3,1,2002-01-05 12:19:00,2002-01-05 14:32:00,EI,VISA,240.00,0.00,240.00,15.70,false,dbo
34,ZF1,2,1,2002-01-05 12:19:00,2002-01-05 13:26:00,EI,CASH,850.00,0.00,850.00,55.61,false,dbo
35,ZM1,2,2,2002-01-05 12:20:00,2002-01-05 14:20:00,EI,MC,410.00,20.50,389.50,25.48,false,dbo
36,ZM1,3,5,2002-01-05 18:58:00,2002-01-05 21:13:00,EI,CASH,1020.00,0.00,1020.00,66.73,false,dbo
37,ZF1,6,1,2002-01-05 20:13:00,2002-01-05 21:55:00,EI,VISA,1400.00,140.00,1260.00,82.43,false,dbo
38,ZM1,3,4,2002-01-06 10:43:00,2002-01-06 11:53:00,EI,CASH,760.00,0.00,760.00,49.72,false,dbo
39,PJ1,2,4,2002-01-06 18:40:00,2002-01-06 20:08:00,EI,CHK,950.00,0.00,950.00,62.15,false,dbo
40,ZM1,1,0,2002-01-06 19:38:00,2002-01-06 20:03:00,TG,CASH,50.00,0.00,50.00,3.27,false,dbo
41,ZF1,1,4,2002-01-06 19:47:00,2002-01-06 21:03:00,EI,CASH,240.00,0.00,240.00,15.70,false,dbo
42,PJ1,5,5,2002-01-06 19:53:00,2002-01-06 22:05:00,EI,VISA,1130.00,103.00,1027.00,67.19,false,dbo
43,ZM1,1,5,2002-01-06 20:05:00,2002-01-06 21:37:00,EI,VISA,710.00,0.00,710.00,46.45,false,dbo
44,AC1,2,7,2002-01-07 12:07:00,2002-01-07 14:24:00,EI,MC,310.00,15.50,294.50,19.27,false,dbo
45,ZM1,4,2,2002-01-07 19:02:00,2002-01-07 21:12:00,EI,CASH,75.00,0.00,75.00,4.91,false,dbo
46,ZM1,2,3,2002-01-08 10:37:00,2002-01-08 11:11:00,EI,CASH,60.00,0.00,60.00,3.93,false,dbo
47,RH1,2,3,2002-01-08 18:37:00,2002-01-08 19:53:00,EI,MC,930.00,41.50,888.50,58.13,false,dbo
48,ZM1,4,1,2002-01-08 19:16:00,2002-01-08 20:34:00,EI,CASH,600.00,0.00,600.00,39.25,false,dbo
49,CS1,2,1,2002-01-08 19:17:00,2002-01-08 20:21:00,EI,CASH,100.00,0.00,100.00,6.54,false,dbo
50,ZF1,3,3,2002-01-08 19:37:00,2002-01-08 20:22:00,EI,AMEX,210.00,0.00,210.00,13.74,false,dbo
51,ZM1,4,3,2002-01-09 10:38:00,2002-01-09 11:33:00,EI,CASH,55.00,0.00,55.00,3.60,false,dbo
52,ZF1,2,2,2002-01-09 11:24:00,2002-01-09 12:46:00,EI,CHK,260.00,0.00,260.00,17.01,false,dbo
53,PJ1,1,3,2002-01-09 11:32:00,2002-01-09 12:01:00,EI,CASH,350.00,0.00,350.00,22.90,false,dbo
54,ZF1,3,3,2002-01-09 12:00:00,2002-01-09 13:12:00,EI,CASH,490.00,0.00,490.00,32.06,false,dbo
55,PH1,3,3,2002-01-09 18:31:00,2002-01-09 19:44:00,EI,CASH,1410.00,211.50,1198.50,78.41,false,dbo
56,ZF1,3,3,2002-01-09 18:39:00,2002-01-09 20:26:00,EI,CASH,60.00,0.00,60.00,3.93,false,dbo
57,ZF1,2,4,2002-01-09 18:43:00,2002-01-09 20:11:00,EI,CASH,475.00,0.00,475.00,31.07,false,dbo
58,ZF1,1,1,2002-01-09 19:13:00,2002-01-09 20:04:00,EI,MC,290.00,9.50,280.50,18.35,false,dbo
59,RH1,3,4,2002-01-09 19:47:00,2002-01-09 20:17:00,EI,CASH,440.00,0.00,440.00,28.79,false,dbo
60,ZF1,1,0,2002-01-09 20:17:00,2002-01-09 20:52:00,TG,MC,1180.00,103.00,1077.00,70.46,false,dbo
61,ZM1,3,5,2002-01-10 10:58:00,2002-01-10 11:40:00,EI,MC,480.00,16.50,463.50,30.32,false,dbo
62,ZF1,3,3,2002-01-10 11:34:00,2002-01-10 12:37:00,EI,VISA,150.00,0.00,150.00,9.81,false,dbo
63,ZM1,4,4,2002-01-10 11:48:00,2002-01-10 13:00:00,EI,CASH,1110.00,159.00,951.00,62.21,false,dbo
64,ZF1,3,5,2002-01-10 19:57:00,2002-01-10 21:41:00,EI,CASH,45.00,0.00,45.00,2.94,false,dbo
65,ZF1,3,1,2002-01-10 20:13:00,2002-01-10 21:34:00,EI,VISA,1280.00,128.00,1152.00,75.36,false,dbo
66,ZM1,5,1,2002-01-10 20:13:00,2002-01-10 22:07:00,EI,MC,2275.00,435.00,1840.00,120.37,false,dbo
67,ZF1,3,4,2002-01-11 10:49:00,2002-01-11 12:57:00,EI,CASH,1350.00,202.50,1147.50,75.07,false,dbo
68,ZM1,2,5,2002-01-11 10:58:00,2002-01-11 12:08:00,EI,CASH,60.00,0.00,60.00,3.93,false,dbo
69,ZF1,2,2,2002-01-11 11:28:00,2002-01-11 12:26:00,EI,AMEX,345.00,0.00,345.00,22.57,false,dbo
70,ZF1,2,4,2002-01-11 11:40:00,2002-01-11 12:43:00,EI,CASH,190.00,0.00,190.00,12.43,false,dbo
71,ZM1,1,1,2002-01-11 12:11:00,2002-01-11 13:04:00,EI,CASH,365.00,0.00,365.00,23.88,false,dbo
72,ZF1,5,2,2002-01-11 18:29:00,2002-01-11 19:33:00,EI,CASH,2510.00,472.00,2038.00,133.33,false,dbo
73,ZM1,2,3,2002-01-11 18:33:00,2002-01-11 20:45:00,EI,CASH,500.00,0.00,500.00,32.71,false,dbo
74,ZF1,1,3,2002-01-11 18:37:00,2002-01-11 20:33:00,EI,VISA,160.00,0.00,160.00,10.47,false,dbo
75,PJ1,2,3,2002-01-11 18:39:00,2002-01-11 20:17:00,EI,MC,540.00,24.50,515.50,33.72,false,dbo
76,ZF1,2,4,2002-01-11 18:41:00,2002-01-11 20:48:00,EI,CASH,410.00,0.00,410.00,26.82,false,dbo
77,ZM1,4,4,2002-01-11 18:42:00,2002-01-11 19:19:00,EI,CASH,420.00,0.00,420.00,27.48,false,dbo
78,PH1,3,5,2002-01-11 18:53:00,2002-01-11 19:58:00,EI,CASH,190.00,0.00,190.00,12.43,false,dbo
79,ZF1,1,2,2002-01-11 19:22:00,2002-01-11 21:23:00,EI,CASH,1030.00,0.00,1030.00,67.38,false,dbo
80,ZM1,1,0,2002-01-11 19:42:00,2002-01-11 20:27:00,TG,CHK,310.00,0.00,310.00,20.28,false,dbo
81,ZF1,3,4,2002-01-11 19:44:00,2002-01-11 21:12:00,EI,CASH,1000.00,0.00,1000.00,65.42,false,dbo
82,ZF1,3,2,2002-01-11 20:02:00,2002-01-11 20:35:00,EI,MC,1510.00,136.00,1374.00,89.89,false,dbo
83,ZF1,2,2,2002-01-11 20:21:00,2002-01-11 22:35:00,EI,MC,20.00,1.00,19.00,1.24,false,dbo
84,ZM1,1,4,2002-01-12 10:40:00,2002-01-12 12:30:00,EI,VISA,530.00,0.00,530.00,34.67,false,dbo
85,ZF1,1,7,2002-01-12 11:07:00,2002-01-12 12:01:00,EI,CASH,355.00,0.00,355.00,23.22,false,dbo
86,ZM1,3,5,2002-01-12 18:55:00,2002-01-12 21:00:00,EI,MC,300.00,10.00,290.00,18.97,false,dbo
87,CS1,2,1,2002-01-12 19:10:00,2002-01-12 19:53:00,EI,CASH,500.00,0.00,500.00,32.71,false,dbo
88,CS1,3,1,2002-01-12 19:13:00,2002-01-12 21:00:00,EI,MC,430.00,19.00,411.00,26.89,false,dbo
89,ZM1,3,3,2002-01-12 19:35:00,2002-01-12 21:27:00,EI,CASH,20.00,0.00,20.00,1.31,false,dbo
90,ZF1,3,5,2002-01-12 19:54:00,2002-01-12 22:16:00,EI,MC,230.00,6.50,223.50,14.62,false,dbo
91,ZF1,3,2,2002-01-12 20:02:00,2002-01-12 21:42:00,EI,AMEX,400.00,0.00,400.00,26.17,false,dbo
92,AC1,1,1,2002-01-12 20:11:00,2002-01-12 22:07:00,EI,CASH,320.00,0.00,320.00,20.93,false,dbo
93,PJ1,2,1,2002-01-12 20:16:00,2002-01-12 21:16:00,EI,CASH,165.00,0.00,165.00,10.79,false,dbo
94,ZM1,2,3,2002-01-13 10:37:00,2002-01-13 11:50:00,EI,CASH,330.00,0.00,330.00,21.59,false,dbo
95,ZF1,1,5,2002-01-13 10:56:00,2002-01-13 12:52:00,EI,CASH,520.00,0.00,520.00,34.02,false,dbo
96,ZF1,2,1,2002-01-13 11:15:00,2002-01-13 12:59:00,EI,MC,410.00,13.00,397.00,25.97,false,dbo
97,ZF1,3,3,2002-01-13 11:31:00,2002-01-13 12:24:00,EI,CHK,110.00,0.00,110.00,7.20,false,dbo
98,ZM1,1,3,2002-01-13 19:00:00,2002-01-13 20:18:00,EI,CASH,525.00,0.00,525.00,34.35,false,dbo
99,PJ1,2,8,2002-01-13 19:08:00,2002-01-13 19:56:00,EI,CASH,400.00,0.00,400.00,26.17,false,dbo
100,CS1,1,0,2002-01-13 19:14:00,2002-01-13 19:24:00,TG,CASH,965.00,0.00,965.00,63.13,false,dbo
101,ZF1,4,2,2002-01-13 19:29:00,2002-01-13 20:43:00,EI,VISA,240.00,0.00,240.00,15.70,false,dbo
102,RH2,3,1,2002-01-13 20:10:00,2002-01-13 21:48:00,EI,MC,280.00,9.00,271.00,17.73,false,dbo
103,ZM1,2,1,2002-01-13 20:15:00,2002-01-13 22:11:00,EI,CASH,530.00,0.00,530.00,34.67,false,dbo
104,ZM1,2,9,2002-01-14 11:09:00,2002-01-14 12:36:00,EI,CHK,830.00,0.00,830.00,54.30,false,dbo
105,RH2,5,9,2002-01-14 12:09:00,2002-01-14 13:06:00,EI,CASH,1435.00,200.25,1234.75,80.78,false,dbo
106,ZM1,2,2,2002-01-14 19:26:00,2002-01-14 21:40:00,EI,MC,335.00,14.25,320.75,20.98,false,dbo
107,ZF1,3,3,2002-01-14 19:30:00,2002-01-14 20:29:00,EI,CASH,375.00,0.00,375.00,24.53,false,dbo
108,PH1,3,4,2002-01-14 19:44:00,2002-01-14 21:37:00,EI,CASH,160.00,0.00,160.00,10.47,false,dbo
109,PJ1,1,4,2002-01-15 11:04:00,2002-01-15 11:52:00,EI,MC,300.00,12.50,287.50,18.81,false,dbo
110,RH2,4,5,2002-01-15 18:58:00,2002-01-15 19:46:00,EI,MC,1150.00,110.00,1040.00,68.04,false,dbo
111,RH2,4,1,2002-01-15 19:10:00,2002-01-15 20:24:00,EI,MC,190.00,7.00,183.00,11.97,false,dbo
112,ZM1,3,5,2002-01-16 10:55:00,2002-01-16 12:28:00,EI,CASH,510.00,0.00,510.00,33.36,false,dbo
113,ZM1,4,4,2002-01-16 18:43:00,2002-01-16 20:04:00,EI,CASH,1500.00,217.50,1282.50,83.90,false,dbo
114,PJ1,3,4,2002-01-16 18:48:00,2002-01-16 20:21:00,EI,CHK,140.00,0.00,140.00,9.16,false,dbo
115,PH1,3,5,2002-01-16 18:54:00,2002-01-16 19:27:00,EI,CASH,340.00,0.00,340.00,22.24,false,dbo
116,RH1,3,5,2002-01-16 19:58:00,2002-01-16 20:57:00,EI,CASH,450.00,0.00,450.00,29.44,false,dbo
117,PJ1,3,3,2002-01-17 18:32:00,2002-01-17 20:53:00,EI,CASH,1100.00,165.00,935.00,61.17,false,dbo
118,ZF1,2,4,2002-01-17 19:40:00,2002-01-17 20:22:00,EI,CASH,270.00,0.00,270.00,17.66,false,dbo
119,ZF1,3,4,2002-01-17 19:41:00,2002-01-17 20:12:00,EI,MC,210.00,10.50,199.50,13.05,false,dbo
120,ZF1,1,0,2002-01-17 20:16:00,2002-01-17 20:27:00,TG,CASH,440.00,0.00,440.00,28.79,false,dbo
121,ZM1,2,1,2002-01-18 11:15:00,2002-01-18 12:27:00,EI,CASH,210.00,0.00,210.00,13.74,false,dbo
122,ZM1,4,3,2002-01-18 11:36:00,2002-01-18 12:29:00,EI,CASH,970.00,0.00,970.00,63.46,false,dbo
123,PJ1,2,4,2002-01-18 11:42:00,2002-01-18 13:34:00,EI,CASH,260.00,0.00,260.00,17.01,false,dbo
124,RH2,3,5,2002-01-18 11:50:00,2002-01-18 13:08:00,EI,MC,480.00,19.00,461.00,30.16,false,dbo
125,ZF1,2,3,2002-01-18 19:03:00,2002-01-18 21:24:00,EI,CASH,270.00,0.00,270.00,17.66,false,dbo
126,ZM1,2,6,2002-01-18 19:06:00,2002-01-18 20:35:00,EI,MC,550.00,27.50,522.50,34.18,false,dbo
127,PJ1,1,2,2002-01-18 19:23:00,2002-01-18 20:09:00,EI,MC,490.00,17.00,473.00,30.94,false,dbo
128,AC1,6,2,2002-01-18 19:23:00,2002-01-18 20:21:00,EI,CASH,1160.00,151.50,1008.50,65.98,false,dbo
129,ZM1,3,3,2002-01-18 19:35:00,2002-01-18 21:16:00,EI,AMEX,740.00,0.00,740.00,48.41,false,dbo
130,ZF1,3,3,2002-01-18 19:36:00,2002-01-18 21:32:00,EI,CASH,110.00,0.00,110.00,7.20,false,dbo
131,ZF1,3,5,2002-01-18 19:52:00,2002-01-18 20:51:00,EI,CASH,900.00,0.00,900.00,58.88,false,dbo
132,ZM1,3,1,2002-01-18 20:17:00,2002-01-18 21:29:00,EI,CASH,900.00,0.00,900.00,58.88,false,dbo
133,ZF1,4,1,2002-01-19 11:10:00,2002-01-19 11:43:00,EI,CASH,1540.00,216.00,1324.00,86.62,false,dbo
134,ZM1,5,1,2002-01-19 11:15:00,2002-01-19 12:42:00,EI,CASH,1260.00,174.00,1086.00,71.05,false,dbo
135,ZF1,2,2,2002-01-19 11:26:00,2002-01-19 12:03:00,EI,CASH,30.00,0.00,30.00,1.96,false,dbo
136,PJ1,1,1,2002-01-19 12:01:00,2002-01-19 12:41:00,EI,CASH,400.00,0.00,400.00,26.17,false,dbo
137,ZF1,4,1,2002-01-19 12:11:00,2002-01-19 13:40:00,EI,VISA,30.00,0.00,30.00,1.96,false,dbo
138,RH1,1,1,2002-01-19 12:13:00,2002-01-19 13:41:00,EI,CASH,590.00,0.00,590.00,38.60,false,dbo
139,ZM1,2,5,2002-01-19 18:56:00,2002-01-19 20:16:00,EI,CASH,350.00,0.00,350.00,22.90,false,dbo
140,ZF1,1,0,2002-01-19 18:56:00,2002-01-19 19:08:00,TG,MC,400.00,20.00,380.00,24.86,false,dbo
141,ZM1,1,6,2002-01-19 19:06:00,2002-01-19 21:17:00,EI,MC,200.00,10.00,190.00,12.43,false,dbo
142,ZF1,2,4,2002-01-19 19:48:00,2002-01-19 21:45:00,EI,MC,70.00,3.50,66.50,4.35,false,dbo
143,PJ1,3,1,2002-01-19 20:11:00,2002-01-19 20:47:00,EI,CHK,370.00,0.00,370.00,24.21,false,dbo
144,ZF1,2,5,2002-01-20 10:51:00,2002-01-20 13:02:00,EI,CHK,430.00,0.00,430.00,28.13,false,dbo
145,ZF1,3,1,2002-01-20 11:16:00,2002-01-20 13:21:00,EI,CASH,220.00,0.00,220.00,14.39,false,dbo
146,ZM1,2,3,2002-01-20 11:35:00,2002-01-20 13:07:00,EI,CASH,200.00,0.00,200.00,13.08,false,dbo
147,ZF1,4,4,2002-01-20 11:44:00,2002-01-20 14:01:00,EI,MC,780.00,39.00,741.00,48.48,false,dbo
148,ZF1,3,5,2002-01-20 11:56:00,2002-01-20 13:23:00,EI,CASH,350.00,0.00,350.00,22.90,false,dbo
149,ZM1,3,7,2002-01-20 12:07:00,2002-01-20 12:53:00,EI,CASH,900.00,0.00,900.00,58.88,false,dbo
150,ZF1,3,1,2002-01-20 12:17:00,2002-01-20 14:13:00,EI,CASH,850.00,0.00,850.00,55.61,false,dbo
151,RH1,3,2,2002-01-20 12:22:00,2002-01-20 14:43:00,EI,VISA,1670.00,157.00,1513.00,98.98,false,dbo
152,ZM1,2,2,2002-01-20 12:28:00,2002-01-20 13:58:00,EI,CASH,320.00,0.00,320.00,20.93,false,dbo
153,PH1,2,1,2002-01-20 19:16:00,2002-01-20 20:17:00,EI,MC,270.00,13.50,256.50,16.78,false,dbo
154,ZM1,3,4,2002-01-20 19:41:00,2002-01-20 21:50:00,EI,CASH,60.00,0.00,60.00,3.93,false,dbo
155,PJ1,4,5,2002-01-20 19:54:00,2002-01-20 21:50:00,EI,CASH,140.00,0.00,140.00,9.16,false,dbo
156,ZM1,4,1,2002-01-20 20:16:00,2002-01-20 20:48:00,EI,CASH,1220.00,183.00,1037.00,67.84,false,dbo
157,ZF1,3,2,2002-01-21 19:28:00,2002-01-21 20:49:00,EI,CASH,10.00,0.00,10.00,0.65,false,dbo
158,ZM1,2,4,2002-01-21 19:42:00,2002-01-21 21:30:00,EI,CASH,110.00,0.00,110.00,7.20,false,dbo
159,ZM1,1,1,2002-01-21 20:01:00,2002-01-21 20:55:00,EI,VISA,65.00,0.00,65.00,4.25,false,dbo
160,ZM1,1,0,2002-01-22 11:52:00,2002-01-22 12:05:00,TG,CASH,1060.00,159.00,901.00,58.94,false,dbo
161,ZF1,6,5,2002-01-22 11:55:00,2002-01-22 12:55:00,EI,CASH,1415.00,197.25,1217.75,79.67,false,dbo
162,ZM1,1,1,2002-01-22 19:12:00,2002-01-22 20:07:00,EI,VISA,625.00,0.00,625.00,40.89,false,dbo
163,RH2,4,1,2002-01-22 19:19:00,2002-01-22 20:28:00,EI,CASH,990.00,0.00,990.00,64.77,false,dbo
164,ZM1,3,1,2002-01-22 19:19:00,2002-01-22 20:59:00,EI,AMEX,380.00,0.00,380.00,24.86,false,dbo
165,ZM1,3,2,2002-01-23 18:29:00,2002-01-23 20:06:00,EI,CASH,830.00,0.00,830.00,54.30,false,dbo
